location_name,lat,lon,centreline_id,centreline_type,total_vehicle,total_pedestrian,collision_count,fatal_count,n_schools,n_childcare,n_libraries,n_community_centres,n_emergency_services,ltc_beds_nearby,score_traffic,score_collision,score_impact,score_density,priority_score
Yonge St / Heath St E,43.6899874808044,-79.3948680098545,13459944,2,8031,1972,1,0,2,6,1,0,1,0,0.11031858663888715,0.03225806451612903,0.22505274261603372,0.2665876777251185,0.12157114419997425
Spanbridge Rd / Grenoble Dr,43.7130339090359,-79.3268831076336,13455900,2,9025,2153,0,0,2,3,0,2,0,0,0.12416253145261784,0.0,0.1231012658227848,0.5347156398104266,0.12154870315401586
St Clair Ave W / Glenholme Ave (East),43.6789331816715,-79.4386149445085,13462068,2,9824,5060,1,0,2,4,1,0,0,0,0.13495933173485594,0.03225806451612903,0.09319620253164557,0.4430094786729858,0.12146627706147242
Burnhamthorpe Rd / Echo Valley Rd,43.6503437431645,-79.5423837664731,13467049,2,19845,211,0,0,1,0,0,0,1,0,0.2731463891866969,0.0,0.12932489451476792,0.0,0.1214662151182975
Sheppard Ave E / Gordon Ave,43.78361711331,-79.2867546292214,13445434,2,18060,7,1,0,2,0,0,0,0,0,0.24889608554274759,0.03225806451612903,0.025316455696202528,0.179739336492891,0.12144117730913642
Bloor St W / The Kingsway,43.6500500796849,-79.4993234000029,13466999,2,18444,705,1,0,0,0,0,0,0,0,0.25386059222318624,0.03225806451612903,0.0,0.21285545023696684,0.12142707488245703
St Clair Ave E / Squires Ave,43.7080855203534,-79.300776766717,13456666,2,18473,361,0,0,1,0,0,1,0,0,0.25429083354463516,0.0,0.05015822784810126,0.22393364928909953,0.1214268022391525
Dufferin St / Dane Ave,43.7161559210982,-79.4551998813078,13455685,2,16187,569,0,0,1,2,0,0,1,0,0.22285200902826163,0.0,0.14451476793248944,0.14520142180094786,0.12142129892648423
Strathcona Ave / Jones Ave,43.6768426720156,-79.3388529081537,13462203,2,7846,1374,0,0,3,3,0,0,1,0,0.10778202498374005,0.0,0.1774261603375527,0.48187203791469196,0.12139614460328876
Hogarth Ave / Broadview Ave,43.6733588847635,-79.3562197891961,13462857,2,6822,573,2,0,2,2,0,0,0,175,0.0938120889058669,0.06451612903225806,0.12933881642356873,0.40106635071090047,0.12138927463414753
Kingston Rd / Lakehurst Dr,43.6963886055183,-79.257944882153,13458388,2,13728,65,1,0,2,1,0,2,0,0,0.18908543780573675,0.03225806451612903,0.10791139240506328,0.22304502369668247,0.12135700666333392
Indian Rd / Annette St,43.6641371706447,-79.4594560468991,13464636,2,6251,136,2,0,4,2,0,0,1,0,0.08582157497559767,0.06451612903225806,0.18248945147679324,0.32239336492890996,0.12135542319099916
Mount Pleasant Rd / Glengowan Rd,43.7203844141598,-79.3949270193138,13454880,2,19428,367,0,0,0,0,0,0,0,0,0.267415325313379,0.0,0.0,0.2775473933649289,0.12135010319617555
King St W / Jefferson Ave,43.6399770993151,-79.4222813304384,13468250,2,7929,1033,0,0,0,2,0,0,1,0,0.10899806678719635,0.0,0.13185654008438819,0.5677132701421801,0.12129195840661437
Bathurst St / Laurelcrest Ave,43.7442553437253,-79.4357577877941,13451358,2,23810,1090,0,0,2,1,0,0,0,0,0.3277037006506953,0.0,0.03291139240506329,0.0,0.12127857370875601
Finch Ave W / Ancona St,43.7745952435373,-79.4388560671384,13446864,2,13643,198,2,0,2,3,0,0,1,0,0.18778845873619426,0.06451612903225806,0.16476793248945146,0.0,0.1212601922168486
Wilson Ave / Bideford Ave,43.7396145463654,-79.4228696678981,13452065,2,15195,175,0,0,2,2,1,1,0,0,0.2091100637131349,0.0,0.11550632911392406,0.2493483412322275,0.12122462224560478
Abbott Ave / Dundas St W,43.6607399239462,-79.4542213780824,13465167,2,8854,330,0,0,3,1,0,0,0,0,0.12177758270177955,0.0,0.04556962025316456,0.6946682464454976,0.12120290264080552
Queen St E / Beech Ave,43.672646114369,-79.2875883086935,13462806,2,7231,1622,3,0,3,6,0,0,0,0,0.09923386107183817,0.0967741935483871,0.08354430379746836,0.3588862559241706,0.12120030546898955
St Clarens Ave / Shirley St,43.6481310471144,-79.4375545982369,13467167,2,567,382,0,0,1,1,0,2,1,0,0.007459262244167991,0.0,0.21191983122362867,0.7617890995260663,0.12117361798279117
Weston Rd / Lilac Ave / Gaydon Ave,43.7203767523204,-79.537501404432,13455182,2,19649,386,1,0,0,0,0,0,0,0,0.27083473673511904,0.03225806451612903,0.0,0.15088862559241706,0.12117134299717852
Laird Dr / Parkhurst Blvd,43.7109007161308,-79.3637138807758,13456331,2,10584,401,0,0,0,2,0,0,1,34,0.1459611595318413,0.0,0.14911542333311914,0.4020734597156398,0.12111683647433227
Weston Rd / Weston Rd Albion Rd Ramp,43.718008846811,-79.5378565056189,13455558,2,19605,57,1,0,0,0,0,0,0,0,0.2704299317031057,0.03225806451612903,0.0,0.15088862559241706,0.12102966123597385
Mount Pleasant Rd / Roxborough St E,43.6795640052323,-79.3813162776506,13461821,2,18118,13,0,0,1,3,0,0,0,0,0.2492624517800882,0.0,0.03544303797468354,0.2665876777251185,0.12098923349047942
Queen St W / Abell St,43.64309600370496,-79.42437499885554,20117865,2,6340,2189,1,0,0,2,0,0,0,0,0.0870852501266924,0.03225806451612903,0.015189873417721517,0.7617890995260663,0.12098704476113845
Warden Ave / Wardencourt Dr,43.7825324529095,-79.3096907071613,13445596,2,16534,81,1,0,0,0,0,0,0,0,0.2275208441128519,0.03225806451612903,0.0,0.3005331753554502,0.12097593555568834
Don Mills Rd: Taylor Creek Trl - West Don River Trl,43.7054,-79.33390500000002,3304134,1,20463,0,0,0,0,0,0,0,0,0,0.281663697572419,0.0,0.0,0.22393364928909953,0.12097565907925659
Brimley Rd / Chartland Blvd S,43.801425456016,-79.2746995544485,13443247,2,18400,256,0,0,3,1,0,0,0,0,0.2530944999218873,0.0,0.04556962025316456,0.232760663507109,0.12097306537400437
Carlaw Ave / Langley Ave (North),43.6699373447753,-79.3437099512676,13463378,2,6892,877,1,0,1,2,0,1,1,0,0.09468725529253955,0.03225806451612903,0.18201476793248944,0.40106635071090047,0.12094045059062195
Weston Rd / Barr Ave,43.6856757973013,-79.4868798139012,13460970,2,9078,338,0,0,2,2,1,0,1,0,0.1251863101548749,0.0,0.19467299578059072,0.3816350710900474,0.1209133148193291
Mill St / Parliament St,43.650197319193,-79.3621413294392,13466646,2,11333,13490,0,0,3,3,0,1,2,0,0.15598337759554223,0.0,0.3315928270042193,0.0,0.12091274755928365
Maitland St / Church St,43.66464115241,-79.3804912329014,13464377,2,11499,11224,1,0,11,2,0,0,1,0,0.15809762780084566,0.03225806451612903,0.2710970464135021,0.0,0.12084390159364156
Main St / Lane/1 /2of Danforth and E of Main St,43.6891830652485,-79.3023033382257,14016700,2,3938,1867,2,0,3,6,0,2,0,0,0.054084473487576466,0.06451612903225806,0.15854430379746837,0.47618483412322277,0.12083755505375804
Sheppard Ave W: Buckland Rd - Yatescastle Dr,43.740700000000004,-79.50514500000001,10257867,1,12045,129,1,0,3,1,0,1,0,0,0.1662434962139564,0.03225806451612903,0.08306962025316456,0.34739336492890993,0.1208288067990538
Jane St / Cornell Ave / Goldwin Ave,43.6892796540579,-79.5003816014409,13460334,2,13630,170,1,0,1,2,0,0,0,0,0.18792450135289135,0.03225806451612903,0.027848101265822784,0.3816350710900474,0.12079702541632642
Sheppard Ave W / Bakersfield St / Vitti St,43.7543159916906,-79.4802502883732,13449875,2,25051,598,0,0,0,0,0,0,0,0,0.34492680080056193,0.0,0.0,0.0,0.12072438028019666
St Annes Rd / Dovercourt Rd,43.6516907107965,-79.4256313933434,13466553,2,4669,630,0,0,3,7,0,0,1,0,0.06399189073422507,0.0,0.20780590717299577,0.5669431279620853,0.12065265598778646
Danforth Rd / Mack Ave,43.7001803882075,-79.2727261154913,13457874,2,12715,415,1,0,1,1,0,0,0,0,0.17486985004244293,0.03225806451612903,0.020253164556962026,0.4409952606635071,0.12064492907324328
